0,0.0000
1,0.0113
2,0.0916
3,0.1463
4,0.1755
5,0.1868
6,0.1957
7,0.2028
8,0.2088
9,0.2106
10,0.2124
11,0.2141
12,0.2141
13,0.2135
14,0.2135
15,0.2135
16,0.2135
17,0.2135
18,0.2135
19,0.2135
20,0.2118
21,0.2118
22,0.2118
23,0.2106
24,0.2106
25,0.2082
26,0.2088
27,0.2070
28,0.2046
29,0.2052
30,0.2052
31,0.2011
32,0.2011
33,0.1993
34,0.1975
35,0.1975
36,0.1957
37,0.1957
38,0.1939
39,0.1939
40,0.1921
41,0.1886
42,0.1898
43,0.1880
44,0.1862
45,0.1862
46,0.1844
47,0.1826
48,0.1808
49,0.1791
50,0.1791
51,0.1773
52,0.1755
53,0.1737
54,0.1719
55,0.1719
56,0.1701
57,0.1683
58,0.1683
59,0.1660
60,0.1642
61,0.1606
62,0.1624
63,0.1606
64,0.1588
65,0.1588
66,0.1570
67,0.1553
68,0.1535
69,0.1553
70,0.1517
71,0.1517
72,0.1499
73,0.1481
74,0.1463
75,0.1463
76,0.1410
77,0.1428
78,0.1404
79,0.1392
80,0.1374
81,0.1356
82,0.1356
83,0.1356
84,0.1338
85,0.1315
86,0.1315
87,0.1297
88,0.1279
89,0.1279
90,0.1261
91,0.1261
92,0.1225
93,0.1225
94,0.1208
95,0.1208
96,0.1208
97,0.1190
98,0.1172
99,0.1154
100,0.1154
101,0.1136
102,0.1136
103,0.1118
104,0.1100
105,0.1100
106,0.1083
107,0.1083
108,0.1059
109,0.1059
110,0.1059
111,0.1041
112,0.1023
113,0.1041
114,0.1023
115,0.1005
116,0.0987
117,0.0987
118,0.0970
119,0.0970
120,0.0952
121,0.0952
122,0.0952
123,0.0934
124,0.0934
125,0.0916
126,0.0910
127,0.0910
128,0.0892
129,0.0892
130,0.0874
131,0.0874
132,0.0857
133,0.0857
134,0.0839
135,0.0839
136,0.0821
137,0.0821
138,0.0821
139,0.0803
140,0.0803
141,0.0785
142,0.0785
143,0.0767
144,0.0767
145,0.0767
146,0.0749
147,0.0749
148,0.0732
149,0.0732
150,0.0732
151,0.0732
152,0.0714
153,0.0714
154,0.0696
155,0.0696
156,0.0696
157,0.0696
158,0.0678
159,0.0678
160,0.0654
161,0.0654
162,0.0637
163,0.0637
164,0.0637
165,0.0637
166,0.0637
167,0.0619
168,0.0619
169,0.0619
170,0.0601
171,0.0583
172,0.0583
173,0.0565
174,0.0583
175,0.0565
176,0.0565
177,0.0565
178,0.0547
179,0.0529
180,0.0547
181,0.0547
182,0.0529
183,0.0529
184,0.0529
185,0.0529
186,0.0512
187,0.0512
188,0.0494
189,0.0512
190,0.0512
191,0.0494
192,0.0494
193,0.0494
194,0.0476
195,0.0494
196,0.0458
197,0.0458
198,0.0476
199,0.0476
200,0.0476
201,0.0458
202,0.0458
203,0.0458
204,0.0458
205,0.0440
206,0.0440
207,0.0440
208,0.0440
209,0.0440
210,0.0422
211,0.0422
212,0.0416
213,0.0422
214,0.0422
215,0.0422
216,0.0422
217,0.0405
218,0.0405
219,0.0405
220,0.0387
221,0.0387
222,0.0387
223,0.0387
224,0.0387
225,0.0369
226,0.0369
227,0.0345
228,0.0369
229,0.0345
230,0.0345
231,0.0345
232,0.0345
233,0.0345
234,0.0327
235,0.0327
236,0.0327
237,0.0345
238,0.0327
239,0.0327
240,0.0309
241,0.0309
242,0.0327
243,0.0309
244,0.0309
245,0.0309
246,0.0292
247,0.0309
248,0.0292
249,0.0292
250,0.0292
251,0.0292
252,0.0292
253,0.0292
254,0.0274
255,0.0274
256,0.0274
257,0.0274
258,0.0256
259,0.0256
260,0.0256
261,0.0256
262,0.0256
263,0.0256
264,0.0256
265,0.0256
266,0.0238
267,0.0238
268,0.0238
269,0.0238
270,0.0238
271,0.0238
272,0.0238
273,0.0238
274,0.0238
275,0.0220
276,0.0220
277,0.0220
278,0.0220
279,0.0220
280,0.0220
281,0.0220
282,0.0220
283,0.0202
284,0.0202
285,0.0202
286,0.0202
287,0.0202
