time,HD_S14,HD_S13,HD_S11,HD_S12,HD_S10,HD_S16,HD_S15,HD_S17,HD_S8,HD_S4,HD_S5,HD_S6,HD_S3,HD_S7,HD_S2,HD_S1,HD_S18,HD_S19,HD_S20,HD_S9
1.000000000000,21.28567155,22.18363221,24.39337375,23.64678792,27.34995270,20.95732514,17.96599552,15.19585360,29.12849153,33.97305673,33.54433914,33.16105032,34.69980442,31.19989122,37.29620578,39.23086403,14.47040530,13.86017706,9.651725622,40.63761033
2.000000000000,21.27880715,22.17502027,24.38459529,23.63987981,27.17697892,20.94786000,17.96747585,15.19366720,29.14218847,33.93899573,33.49427156,33.10141661,34.62032794,31.20311875,37.23333434,39.08949291,14.46464031,13.85134162,9.609537447,40.63469733
3.000000000000,21.26731521,22.16522403,24.37936593,23.63212939,27.21960563,20.91921780,17.94823720,15.17741129,29.12119197,33.91816243,33.47938072,33.09121765,34.60833131,31.18691098,37.21244060,39.08765131,14.45407452,13.84577142,9.642500939,40.62050713
4.000000000000,21.26249206,22.16095587,24.37687637,23.62926075,27.20505752,20.90882892,17.93807779,15.16283870,29.11967776,33.91190002,33.47120178,33.08150634,34.59855958,31.18505239,37.20685920,39.07976763,14.43932037,13.83033167,9.611840554,40.61870352
5.000000000000,21.25779075,22.16129052,24.38211890,23.63422438,27.20672386,20.90782274,17.86775746,15.03449639,29.09316144,32.79297259,32.55399635,32.38587051,33.12851527,31.01951130,35.86811114,38.21077167,14.30265835,13.68351634,9.554907483,40.61067257
6.000000000000,21.22143742,22.12938474,24.36353909,23.61116952,27.17161536,20.82743627,17.79534743,14.94584039,29.05994952,32.68468990,32.44061940,32.27413239,32.98619166,30.97984868,35.75483702,38.08969108,14.21993400,13.60333042,9.450715693,40.60355731
7.000000000000,21.23630988,22.14369660,24.37377945,23.62307871,27.19870159,20.86018344,17.81126323,14.95705702,29.07545212,32.70998378,32.46679312,32.30121628,33.01418734,30.99364145,35.77986336,38.11105855,14.22657862,13.60564541,9.419248606,40.61407692
8.000000000000,21.22806751,22.13516454,24.36684001,23.61529842,27.17735265,20.84119436,17.80983615,14.96514638,29.06488801,32.71580158,32.46873075,32.29478893,33.03843354,30.98709661,35.83144652,38.22572173,14.23950411,13.62425943,9.492330946,40.60264366
9.000000000000,21.22924519,22.13830426,24.37126925,23.61970722,27.19783733,20.84707397,17.78614173,14.91998817,29.07325908,32.73679819,32.49244109,32.32029819,33.06520937,30.99618760,35.85215135,38.24851082,14.18822536,13.56430987,9.335787282,40.60933858
10.00000000000,20.94242241,21.94395266,24.31867288,23.53410405,27.13319200,20.34767560,16.50833245,13.09503580,29.07712990,32.72840235,32.47978845,32.30512987,33.04489816,30.99738179,35.83629457,38.21205291,12.17599258,12.02265629,9.041497631,40.60464194
11.00000000000,20.97224684,21.97077055,24.33707003,23.55638633,27.13644876,20.41273920,16.56384005,13.15785122,29.11642130,32.78678813,32.53680648,32.36137472,33.10340180,31.03163891,35.89202472,38.24924007,12.23692798,12.08234158,9.084644972,40.61844382
12.00000000000,20.94286597,21.93782025,24.31043557,23.52437349,27.16734746,20.32832177,16.60708208,13.27721372,29.04884046,32.69163707,32.44824823,32.27837025,33.01334719,30.97337123,35.79751323,38.18914921,12.37983734,12.24274938,9.143053068,40.58512038
13.00000000000,20.96636170,21.96015439,24.32579732,23.54225928,27.22343966,20.37660391,16.63668194,13.29871751,29.06815555,32.72415946,32.48524115,32.32023345,33.04775510,30.99151519,35.81387897,38.18465761,12.39425771,12.24937617,9.093344847,40.59585124
14.00000000000,20.95389703,21.95222143,24.32444269,23.53864018,27.27694044,20.35409215,16.57913920,13.22122801,29.06101167,32.71732861,32.48345811,32.32379767,33.04504041,30.98568653,35.79865383,38.16903518,12.31570494,12.16981635,9.011806699,40.59857270
15.00000000000,20.96054544,21.95642451,24.32515618,23.54131869,27.20902664,20.36960913,16.60454488,13.24896555,29.07518803,32.72971123,32.48815075,32.32124087,33.04976507,30.99666307,35.82118789,38.18757676,12.34086681,12.19261780,9.015096973,40.60072919
16.00000000000,21.04408529,22.02152956,24.35380691,23.58171794,27.15253026,20.54126881,16.85413078,13.55786017,29.12558332,32.76859555,32.52015714,32.35230654,33.05941740,31.03502696,35.82289119,38.10468393,12.64333716,12.48746172,9.246571547,40.61693262
17.00000000000,20.96901912,21.96130140,24.32339739,23.54167572,27.13848186,20.39161531,16.64038764,13.29417008,29.07487370,32.65698107,32.41258214,32.25453268,32.91896667,30.98517976,35.65852408,37.88630319,12.38440244,12.23440060,9.043908675,40.60324972
18.00000000000,20.95626853,21.95185195,24.32120526,23.53713587,27.17511909,20.36039186,16.60371860,13.25128317,29.09969066,33.49993536,33.10657227,32.78567722,34.02261164,31.11431733,36.64884641,38.50504051,12.34435337,12.19731829,9.028453759,40.60061098
19.00000000000,20.96551214,21.95785250,24.32205003,23.53966256,27.14378288,20.37806934,16.64451824,13.30712662,29.10745678,33.53567163,33.14149320,32.81740600,34.06583493,31.12613409,36.68081577,38.52738352,12.40173872,12.25647320,9.096521758,40.59517458
20.00000000000,21.12992579,22.06988602,24.35316801,23.58971283,27.18333847,20.66489441,17.36786051,14.33235768,29.10750227,33.54325343,33.15355927,32.83328671,34.07824116,31.12781455,36.68074112,38.52534044,13.52215370,13.13881773,9.309065754,40.59325849
21.00000000000,21.12157431,22.06242640,24.34817095,23.58352553,27.18903624,20.65021197,17.34911238,14.30670450,29.09740493,33.53156468,33.14345232,32.82404306,34.06783715,31.12005126,36.66596755,38.51340303,13.49485248,13.10858212,9.245311578,40.58972152
