0.9180411,0
1.927886,0
3.038716,0
4.260629,0
5.604733,3.55E-15
7.083247,1.07E-14
8.709613,2.13E-14
10.49861,4.97E-14
12.46652,1.14E-13
14.63121,2.56E-13
17.01237,5.61E-13
19.63165,1.22E-12
22.51286,2.55E-12
25.68218,5.23E-12
29.16844,1.05E-11
33.00333,2.09E-11
37.2217,4.07E-11
41.86191,7.83E-11
46.96615,1.49E-10
52.5808,2.79E-10
58.75692,5.18E-10
65.55066,9.53E-10
73.02376,1.74E-09
81.24418,3.14E-09
90.28664,5.62E-09
100.2333,9.98E-09
111.1747,1.76E-08
123.2102,3.08E-08
136.4493,5.34E-08
151.0123,9.20E-08
167.0315,1.57E-07
184.6527,2.67E-07
204.036,4.50E-07
225.3577,7.52E-07
248.8115,1.25E-06
274.6107,2.05E-06
302.9898,3.34E-06
334.2068,5.41E-06
368.5455,8.67E-06
406.3181,1.38E-05
447.868,2.17E-05
493.5728,3.39E-05
543.8482,5.23E-05
599.151,8.02E-05
659.9842,0.000121547
726.9006,0.000182498
800.5087,0.00027126
881.4776,0.000399063
970.5434,0.000580947
1068.516,0.000836712
1176.285,0.00119196
1294.832,0.00167916
1425.233,0.00233867
1568.675,0.00321957
1726.46,0.00438024
1900.024,0.00588846
2090.945,0.00782102
2300.957,0.0102627
2531.971,0.0133046
2786.086,0.0170419
3065.613,0.0215714
3373.092,0.0269882
3711.319,0.0333831
4083.369,0.0408397
4492.624,0.0494318
4942.805,0.0592216
5438.003,0.0702582
5982.722,0.0825775
6581.912,0.0962013
7241.021,0.111138
7966.041,0.127385
8763.563,0.144925
9640.838,0.163736
10605.84,0.183782
11667.34,0.205024
12834.99,0.227417
14119.41,0.250909
15532.27,0.27545
17086.42,0.300983
18795.97,0.327453
20676.49,0.354806
22745.06,0.382986
25020.48,0.411939
27523.45,0.441613
30276.71,0.471958
33305.3,0.502926
36636.75,0.534471
40301.34,0.56655
44332.39,0.599122
48766.55,0.632148
53644.12,0.665593
59009.45,0.699422
64911.32,0.733606
71403.37,0.768114
78544.62,0.80292
86400,0.837999
